date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:09:41	1274/1274	---MCZ	200	added ('OK')	application/javascript	etag:W/%22608c1ac0-4fa%22	https://icbargentina.com/static/new/gclid.js	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/gclid.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:43	125790/125790	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2004%20Aug%202024%2020:09:40%20GMT	https://leads.godixital.com/js/leads_form_trigger.js	C:/Mis%20lugares%20Web/FINANZAS/leads.godixital.com/js/leads_form_trigger.js	(from https://icbargentina.com/capacitacion/finanzas-y-startups?utm_source=google&utm_medium=cpc&utm_campaign=+Bursatil+Capacitacion+-+BA&utm_term=BC+%7C+Finanzas+y+Startups+-+AR&utm_content=landing_Finanzas_y_Startups&gad_source=1&gclid=Cj0KCQjwzby1BhCQARIsAJ_0t5OFabybXi0iVggFqR7QOERBLFJ3RlT1pyYWiAMojM5CRpdjqVzmvg4aAsomEALw_wcB)
17:09:44	66131/66131	---M-Z	200	added ('OK')	image/png	etag:%225eb03ea6-10253%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/img/flags.png	C:/Mis%20lugares%20Web/FINANZAS/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/img/flags.png	(from https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/css/intlTelInput.css)
17:09:46	165555/165555	---M-Z	200	added ('OK')	image/png	etag:%225eb03ea6-286b3%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/img/flags@2x.png	C:/Mis%20lugares%20Web/FINANZAS/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/img/flags@2x.png	(from https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/11.0.3/css/intlTelInput.css)
17:09:47	64214/64214	---M--	200	added ('OK')	image/jpeg	etag:%2262d7ea66-fad6%22	https://icbargentina.com/media/landings/2022/07/header-agi.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/landings/2022/07/header-agi.jpg	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:09:52	59295/59295	---M--	200	added ('OK')	image/png	etag:%225cfe047a-e79f%22	https://icbargentina.com/media/docentes/2019/06/arielbesteiro.png	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2019/06/arielbesteiro.png	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:09:54	92954/92954	---M--	200	added ('OK')	image/jpeg	etag:%225d15ccc8-16b1a%22	https://icbargentina.com/static/new/img/analytics04.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/img/analytics04.jpg	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:09:55	67791/67791	---M--	200	added ('OK')	image/jpeg	etag:%22628d0db8-108cf%22	https://icbargentina.com/media/docentes/2022/05/Alan_Robinson.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2022/05/Alan_Robinson.jpg	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:10:55	1169658/1169658	---M--	200	added ('OK')	image/png	etag:%225cfdfc5b-11d8fa%22	https://icbargentina.com/media/docentes/2019/06/gaby.png	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2019/06/gaby.png	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:11:00	120274/120274	---M--	200	added ('OK')	image/png	etag:%226553b57c-1d5d2%22	https://icbargentina.com/media/docentes/2023/11/Agustin_foto_1.PNG	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/docentes/2023/11/Agustin_foto_1.png	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:11:03	43336/43336	---M--	200	added ('OK')	image/jpeg	etag:%225d15ccc8-a948%22	https://icbargentina.com/static/new/img/timer.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/img/timer.jpg	(from https://icbargentina.com/capacitacion/inversor-y-asesor-inversiones)
17:11:05	4104/4104	---MCZ	200	added ('OK')	text/css	etag:W/%2263e2675f-1008%22	https://icbargentina.com/static/new/theme_ipro.css?v=20230207-01	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/static/new/theme_ipro9aa9.css	(from https://icbargentina.com/capacitacion/inversor-profesional-de-mercado-de-valores)
17:11:10	95234/95234	---M--	200	added ('OK')	image/jpeg	etag:%2262d7ea9f-17402%22	https://icbargentina.com/media/landings/2022/07/header-ipro.jpg	C:/Mis%20lugares%20Web/FINANZAS/icbargentina.com/media/landings/2022/07/header-ipro.jpg	(from https://icbargentina.com/capacitacion/inversor-profesional-de-mercado-de-valores)
